imageLarge,imageMedium,imageSmall,imageFileName,nameText,nameLink,year,collectionText,collectionLink,invNo,dim,catCode
"//upload.wikimedia.org/wikipedia/commons/b/b6/Giaele_e_Sisara.JPG/128px-Giaele_e_Sisara.JPGjpg","//upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Giaele_e_Sisara.JPG/256px-Giaele_e_Sisara.JPG","//upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Giaele_e_Sisara.JPG/128px-Giaele_e_Sisara.JPG","128px-Giaele_e_Sisara.JPGjpg","Jael and Sisera","/wiki/Jael_and_Sisera_(Artemisia_Gentileschi)","1620","Museum of Fine Arts, Budapest","//www.wikipedia.org/wiki/Museum_of_Fine_Arts_(Budapest)","","86 X 125&#160;cm.","MET (61), WB (11)"
"//upload.wikimedia.org/wikipedia/commons/b/b4/Artemisia_Gentileschi_-_Giuditta_decapita_Oloferne_-_Google_Art_Project.jpg","//upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Artemisia_Gentileschi_-_Giuditta_decapita_Oloferne_-_Google_Art_Project.jpg/256px-Artemisia_Gentileschi_-_Giuditta_decapita_Oloferne_-_Google_Art_Project.jpg","//upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Artemisia_Gentileschi_-_Giuditta_decapita_Oloferne_-_Google_Art_Project.jpg/128px-Artemisia_Gentileschi_-_Giuditta_decapita_Oloferne_-_Google_Art_Project.jpg","Artemisia_Gentileschi_-_Giuditta_decapita_Oloferne_-_Google_Art_Project.jpg","Judith Slaying Holofernes","/wiki/Judith_Slaying_Holofernes_(Artemisia_Gentileschi)","1620-1","Uffizi","//www.wikipedia.org/wiki/Uffizi","","86 X 125&#160;cm.","MET (62), WB (12)"
"//upload.wikimedia.org/wikipedia/commons/3/3c/Saint_Cecilia_by_Artemisia_Gentileschi.jpg","//upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Saint_Cecilia_by_Artemisia_Gentileschi.jpg/256px-Saint_Cecilia_by_Artemisia_Gentileschi.jpg","//upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Saint_Cecilia_by_Artemisia_Gentileschi.jpg/128px-Saint_Cecilia_by_Artemisia_Gentileschi.jpg","Saint_Cecilia_by_Artemisia_Gentileschi.jpg","Saint Cecilia","/wiki/Saint_Cecilia_(Artemisia_Gentileschi)","c.1620","Galleria Spada","//www.wikipedia.org/wiki/Galleria_Spada","","108 X 78.5&#160;cm.","MET (63), WB (X-28)"
"//upload.wikimedia.org/wikipedia/commons/6/67/Gentileschi-allegoria.jpg","//upload.wikimedia.org/wikipedia/commons/thumb/6/67/Gentileschi-allegoria.jpg/256px-Gentileschi-allegoria.jpg","//upload.wikimedia.org/wikipedia/commons/thumb/6/67/Gentileschi-allegoria.jpg/128px-Gentileschi-allegoria.jpg","Gentileschi-allegoria.jpg","Allegory of Painting","/wiki/Allegory_of_Painting_(Artemisia_Gentileschi)","1620s","Musee de Tesse, Le Mans","","","95.5 x 133&#160;cm","MET (64)"
"//upload.wikimedia.org/wikipedia/commons/9/96/Artemisa_Susanna_1622.jpg","//upload.wikimedia.org/wikipedia/commons/thumb/9/96/Artemisa_Susanna_1622.jpg/256px-Artemisa_Susanna_1622.jpg","//upload.wikimedia.org/wikipedia/commons/thumb/9/96/Artemisa_Susanna_1622.jpg/128px-Artemisa_Susanna_1622.jpg","Artemisa_Susanna_1622.jpg","Susanna and the Elders","/wiki/Susanna_and_the_Elders_(Gentileschi)","1622","Burghley House","//www.wikipedia.org/wiki/Burghley_House","","162.5 x 121.9&#160;cm.","MET (65), WB (X-42)"
"//upload.wikimedia.org/wikipedia/commons/1/11/Artemisia_Gentileschi_-_Susanna_and_the_Elders_NOT_NCMG_1964_77.jpg","//upload.wikimedia.org/wikipedia/commons/thumb/1/11/Artemisia_Gentileschi_-_Susanna_and_the_Elders_NOT_NCMG_1964_77.jpg/256px-Artemisia_Gentileschi_-_Susanna_and_the_Elders_NOT_NCMG_1964_77.jpg","//upload.wikimedia.org/wikipedia/commons/thumb/1/11/Artemisia_Gentileschi_-_Susanna_and_the_Elders_NOT_NCMG_1964_77.jpg/128px-Artemisia_Gentileschi_-_Susanna_and_the_Elders_NOT_NCMG_1964_77.jpg","Artemisia_Gentileschi_-_Susanna_and_the_Elders_NOT_NCMG_1964_77.jpg","Susanna and the Elders","","c. 1630","Nottingham Castle","//www.wikipedia.org/wiki/Nottingham_Castle","NCM 1964-77","162.5 x 121.9&#160;cm.","MET (65 (related pictures: Nottingham))"
"//upload.wikimedia.org/wikipedia/commons/b/bd/Artemisia_Gentileschi_Condottiero_Bologna.jpg","//upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Artemisia_Gentileschi_Condottiero_Bologna.jpg/256px-Artemisia_Gentileschi_Condottiero_Bologna.jpg","//upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Artemisia_Gentileschi_Condottiero_Bologna.jpg/128px-Artemisia_Gentileschi_Condottiero_Bologna.jpg","Artemisia_Gentileschi_Condottiero_Bologna.jpg","Portrait of a Gonfaloniere","/wiki/Portrait_of_a_Gonfaloniere","1622","Palazzo d'Accursio","//www.wikipedia.org/wiki/Palazzo_d%27Accursio","","208 x 128&#160;cm.","MET (66), WB (13)"
"//upload.wikimedia.org/wikipedia/commons/8/83/Lucretia_by_Artemisia_Gentileschi.jpg","//upload.wikimedia.org/wikipedia/commons/thumb/8/83/Lucretia_by_Artemisia_Gentileschi.jpg/256px-Lucretia_by_Artemisia_Gentileschi.jpg","//upload.wikimedia.org/wikipedia/commons/thumb/8/83/Lucretia_by_Artemisia_Gentileschi.jpg/128px-Lucretia_by_Artemisia_Gentileschi.jpg","Lucretia_by_Artemisia_Gentileschi.jpg","Lucretia","/wiki/Lucretia_(Artemisia_Gentileschi,_Milan)","c.1623-5","Collection Gerolamo Etro, Milan","","","54 x 51&#160;cm.","MET (67), WB (3)"
"//upload.wikimedia.org/wikipedia/commons/1/16/Artemisia_Gentileschi_Mary_Magdalene2.jpg","//upload.wikimedia.org/wikipedia/commons/thumb/1/16/Artemisia_Gentileschi_Mary_Magdalene2.jpg/256px-Artemisia_Gentileschi_Mary_Magdalene2.jpg","//upload.wikimedia.org/wikipedia/commons/thumb/1/16/Artemisia_Gentileschi_Mary_Magdalene2.jpg/128px-Artemisia_Gentileschi_Mary_Magdalene2.jpg","Artemisia_Gentileschi_Mary_Magdalene2.jpg","Penitent Magdalene","/wiki/Penitent_Magdalene_(Artemisia_Gentileschi)","c.1625-6","Seville Cathedral","//www.wikipedia.org/wiki/Seville_Cathedral","","122 x 96&#160;cm.","MET (68), WB (16)"
"//upload.wikimedia.org/wikipedia/commons/b/b0/3415_Mar%C3%ADa_Magdalena_como_melancol%C3%ADa.jpg","//upload.wikimedia.org/wikipedia/commons/thumb/b/b0/3415_Mar%C3%ADa_Magdalena_como_melancol%C3%ADa.jpg/256px-3415_Mar%C3%ADa_Magdalena_como_melancol%C3%ADa.jpg","//upload.wikimedia.org/wikipedia/commons/thumb/b/b0/3415_Mar%C3%ADa_Magdalena_como_melancol%C3%ADa.jpg/128px-3415_Mar%C3%ADa_Magdalena_como_melancol%C3%ADa.jpg","3415_Mar%C3%ADa_Magdalena_como_melancol%C3%ADa.jpg","Mary Magdalene as Melancholy","/wiki/Mary_Magdalene_as_Melancholy","1620s","Museo Soumaya","//www.wikipedia.org/wiki/Museo_Soumaya","","136.3 × 100.3&#160;cm.","MET (Figure 128.), WB (17)"
